id_contrat,id_producteur,date_debut,date_fin,type,remuneration
40,63,2010-6-15,2022-11-23,CDD,75000
41,133,2010-5-7,2024-9-10,CDD,75000
42,76,2010-1-26,2016-11-8,CDD,75000
43,122,2010-5-12,2020-11-1,CDD,75000
44,24,2011-3-19,2016-8-4,CDD,75000
45,25,2010-6-14,2022-4-22,CDD,75000
46,106,2011-9-25,2014-1-17,CDD,75000
47,106,2011-6-7,2016-4-10,CDD,75000
48,175,2010-9-24,2018-1-15,CDD,75000
49,173,2011-11-21,2015-10-2,CDD,75000
50,51,2011-3-19,2025-12-14,CDD,75000
51,145,2011-12-24,2023-9-24,CDD,75000
52,31,2011-6-21,2022-2-14,CDD,75000
53,21,2011-2-7,2020-5-6,CDD,75000
54,3,2011-9-25,2015-5-22,CDD,75000
55,37,2011-5-25,2022-4-17,CDD,75000
56,162,2011-7-13,2023-6-15,CDD,75000
57,44,2011-8-2,2022-5-7,CDD,75000
58,6,2010-12-12,2024-10-12,CDD,75000
59,55,2011-12-18,2017-10-20,CDD,75000
60,14,2010-3-25,2019-9-7,CDD,75000
61,178,2011-12-22,2021-10-28,CDD,75000
62,144,2011-4-6,2025-7-20,CDD,75000
63,175,2010-7-18,2016-5-16,CDD,75000
64,3,2010-12-28,2020-1-16,CDD,75000
65,144,2011-8-18,2020-9-10,CDD,75000
66,123,2011-12-20,2025-5-28,CDD,75000
67,122,2010-3-12,2023-11-15,CDD,75000
68,121,2010-11-22,2017-7-12,CDD,75000
69,113,2011-3-24,2013-8-6,CDD,75000
70,11,2010-7-2,2023-10-13,CDD,75000
71,102,2011-1-23,2021-5-23,CDD,75000
72,134,2010-1-22,2018-5-28,CDD,75000
73,71,2011-7-6,2021-1-10,CDD,75000
74,180,2011-4-9,2013-9-27,CDD,75000
75,17,2011-10-18,2015-1-12,CDD,75000
76,151,2010-5-23,2022-1-4,CDD,75000
77,83,2011-1-26,2021-4-14,CDD,75000
78,95,2011-10-25,2022-1-14,CDD,75000
79,177,2010-6-26,2014-7-20,CDD,75000
80,121,2011-11-24,2024-5-22,CDD,75000
81,171,2010-10-24,2018-2-22,CDD,75000
82,116,2011-3-20,2014-8-26,CDD,75000
83,76,2010-8-13,2016-5-22,CDD,75000
84,95,2011-5-28,2018-4-23,CDD,75000
85,113,2010-3-7,2017-12-10,CDD,75000
86,182,2011-4-4,2024-5-2,CDD,75000
87,185,2010-3-20,2021-11-24,CDD,75000
88,18,2011-7-20,2014-9-14,CDD,75000
89,146,2010-1-3,2025-3-11,CDD,75000
90,173,2011-12-8,2022-2-22,CDD,75000
91,135,2011-10-19,2021-2-21,CDD,75000
92,113,2010-1-7,2023-6-9,CDD,75000
93,63,2010-5-14,2012-9-21,CDD,75000
94,79,2010-12-23,2014-8-15,CDD,75000
95,140,2010-4-7,2012-9-8,CDD,75000
96,50,2010-10-27,2017-5-8,CDD,75000
97,165,2010-7-17,2016-4-15,CDD,75000
98,35,2011-7-21,2014-5-16,CDD,75000
99,144,2010-4-11,2013-7-6,CDD,75000
100,126,2011-9-16,2016-6-22,CDD,75000
101,172,2010-5-23,2016-3-10,CDD,75000
102,26,2010-3-14,2015-6-20,CDD,75000
103,113,2011-6-14,2022-11-23,CDD,75000
104,4,2010-2-23,2019-6-14,CDD,75000
105,161,2010-6-25,2024-4-3,CDD,75000
106,64,2011-2-23,2016-7-9,CDD,75000
107,54,2010-5-4,2024-5-18,CDD,75000
108,68,2011-8-23,2025-9-14,CDD,75000
109,129,2010-10-5,2020-12-5,CDD,75000
110,183,2010-12-7,2023-7-18,CDD,75000
111,33,2011-1-1,2020-1-9,CDD,75000
112,88,2010-3-3,2012-9-1,CDD,75000
113,165,2010-10-15,2021-7-14,CDD,75000
114,73,2011-1-23,2023-2-22,CDD,75000
115,28,2010-12-18,2015-8-28,CDD,75000
116,91,2010-6-18,2012-1-24,CDD,75000
117,138,2010-3-28,2023-5-22,CDD,75000
118,167,2010-1-28,2020-7-15,CDD,75000
119,198,2010-9-28,2023-8-24,CDD,75000
120,174,2010-12-26,2016-2-11,CDD,75000
121,33,2011-8-15,2021-5-15,CDD,75000
122,173,2010-10-23,2013-9-6,CDD,75000
123,38,2011-11-6,2025-1-4,CDD,75000
124,32,2010-10-3,2025-4-7,CDD,75000
125,36,2011-7-19,2025-10-2,CDD,75000
126,130,2011-10-15,2014-11-1,CDD,75000
127,8,2010-8-4,2015-8-27,CDD,75000
128,192,2011-1-26,2020-12-21,CDD,75000
129,26,2011-1-27,2012-7-5,CDD,75000
130,51,2011-3-21,2018-8-26,CDD,75000
131,30,2011-5-14,2020-1-14,CDD,75000
132,95,2010-9-19,2023-7-19,CDD,75000
133,70,2011-7-17,2024-4-12,CDD,75000
134,190,2011-3-17,2025-11-24,CDD,75000
135,44,2010-6-8,2023-1-23,CDD,75000
136,115,2010-7-15,2022-9-3,CDD,75000
137,62,2010-2-27,2019-5-20,CDD,75000
138,21,2011-9-17,2025-4-11,CDD,75000
139,64,2011-5-15,2014-8-28,CDD,75000
140,12,2010-1-26,2024-7-25,CDD,75000
141,36,2011-9-8,2021-12-25,CDD,75000
142,24,2011-4-13,2020-5-28,CDD,75000
143,168,2011-9-24,2013-12-12,CDD,75000
144,47,2011-8-26,2016-11-19,CDD,75000
145,10,2010-9-12,2013-10-10,CDD,75000
146,180,2011-12-9,2020-11-15,CDD,75000
147,185,2010-5-27,2020-6-19,CDD,75000
148,165,2011-8-4,2018-10-5,CDD,75000
149,63,2010-10-12,2024-3-22,CDD,75000
150,112,2010-10-22,2014-2-11,CDD,75000
151,180,2011-3-1,2015-11-17,CDD,75000
152,124,2011-11-11,2015-9-3,CDD,75000
153,103,2011-1-3,2017-4-9,CDD,75000
154,28,2011-9-22,2012-6-16,CDD,75000
155,89,2011-6-20,2016-1-18,CDD,75000
156,125,2011-11-2,2013-3-23,CDD,75000
157,127,2011-4-1,2016-12-12,CDD,75000
158,81,2010-5-5,2018-10-1,CDD,75000
159,72,2010-5-7,2021-12-5,CDD,75000
160,190,2011-2-11,2019-5-20,CDD,75000
161,150,2011-11-2,2021-3-2,CDD,75000
162,137,2011-1-5,2017-5-8,CDD,75000
163,32,2011-8-20,2023-12-15,CDD,75000
164,172,2011-1-19,2012-10-12,CDD,75000
165,151,2011-4-7,2021-10-19,CDD,75000
166,88,2010-7-6,2013-5-18,CDD,75000
167,43,2011-4-21,2012-2-28,CDD,75000
168,87,2010-12-12,2023-12-16,CDD,75000
169,125,2010-10-11,2020-2-13,CDD,75000
170,92,2010-5-14,2022-4-28,CDD,75000
171,106,2010-10-17,2015-6-11,CDD,75000
172,20,2011-11-4,2018-7-8,CDD,75000
173,61,2011-6-9,2018-8-3,CDD,75000
174,86,2010-4-24,2020-4-16,CDD,75000
175,91,2011-6-2,2020-11-2,CDD,75000
176,143,2011-7-8,2012-2-13,CDD,75000
177,138,2010-2-21,2025-5-25,CDD,75000
178,81,2010-10-10,2013-3-7,CDD,75000
179,99,2011-12-14,2019-10-22,CDD,75000
180,52,2011-9-8,2019-9-6,CDD,75000
181,99,2010-9-18,2025-1-20,CDD,75000
182,4,2010-11-9,2024-8-25,CDD,75000
183,96,2010-4-26,2018-3-17,CDD,75000
184,17,2010-2-9,2016-9-9,CDD,75000
185,117,2011-5-14,2022-7-13,CDD,75000
186,29,2011-6-15,2017-12-14,CDD,75000
187,79,2011-12-28,2024-2-14,CDD,75000
188,138,2011-10-18,2023-12-21,CDD,75000
189,158,2011-2-26,2023-1-15,CDD,75000
190,110,2010-7-13,2023-11-3,CDD,75000
191,153,2011-4-13,2013-6-15,CDD,75000
192,165,2011-1-25,2016-4-10,CDD,75000
193,74,2010-2-13,2016-5-6,CDD,75000
194,73,2011-6-16,2014-1-14,CDD,75000
195,46,2010-9-9,2022-3-12,CDD,75000
196,1,2011-2-24,2025-1-18,CDD,75000
197,64,2010-12-11,2018-10-22,CDD,75000
198,181,2010-4-17,2012-7-14,CDD,75000
199,70,2011-5-6,2024-12-7,CDD,75000
200,168,2011-11-23,2021-8-8,CDD,75000
201,119,2011-1-21,2013-6-23,CDD,75000
202,167,2011-10-15,2012-3-14,CDD,75000
203,92,2010-9-7,2012-4-22,CDD,75000
204,85,2011-3-13,2022-11-7,CDD,75000
205,63,2011-3-24,2015-10-2,CDD,75000
206,89,2011-3-27,2015-7-13,CDD,75000
207,186,2011-6-12,2018-9-8,CDD,75000
208,10,2011-4-12,2014-7-3,CDD,75000
209,155,2011-12-4,2021-6-26,CDD,75000
210,114,2010-3-18,2015-4-25,CDD,75000
211,49,2011-12-23,2018-7-19,CDD,75000
212,57,2011-3-5,2019-11-28,CDD,75000
213,4,2010-9-16,2022-9-28,CDD,75000
214,195,2010-11-14,2014-5-26,CDD,75000
215,198,2011-12-4,2016-3-23,CDD,75000
216,199,2010-10-22,2025-2-20,CDD,75000
217,34,2010-6-9,2013-2-3,CDD,75000
218,175,2010-1-24,2025-7-14,CDD,75000
219,191,2011-11-10,2017-12-12,CDD,75000
220,13,2010-3-6,2022-4-3,CDD,75000
221,14,2010-4-19,2024-8-12,CDD,75000
222,144,2011-5-1,2024-8-22,CDD,75000
223,33,2011-4-24,2018-3-25,CDD,75000
224,161,2011-5-2,2020-2-13,CDD,75000
225,160,2011-7-9,2025-5-17,CDD,75000
226,166,2010-7-4,2024-9-27,CDD,75000
227,80,2011-4-11,2017-7-23,CDD,75000
228,125,2010-6-19,2020-8-19,CDD,75000
229,117,2010-9-12,2024-3-24,CDD,75000
230,99,2010-6-2,2018-9-8,CDD,75000
231,176,2010-2-7,2018-4-2,CDD,75000
232,156,2010-3-5,2015-12-26,CDD,75000
233,15,2011-7-4,2013-6-17,CDD,75000
234,59,2011-11-26,2014-10-25,CDD,75000
235,2,2011-7-3,2024-7-24,CDD,75000
236,71,2010-3-18,2016-1-15,CDD,75000
237,124,2010-9-8,2020-6-2,CDD,75000
238,125,2010-8-7,2022-8-6,CDD,75000
239,125,2011-3-21,2025-10-16,CDD,75000
240,5,2010-8-7,2012-6-23,CDD,75000
241,7,2010-7-11,2025-10-9,CDD,75000
242,107,2010-4-13,2013-3-9,CDD,75000
243,16,2011-11-6,2014-8-7,CDD,75000
244,163,2010-11-18,2018-8-8,CDD,75000
245,198,2010-10-20,2019-9-12,CDD,75000
246,101,2011-5-2,2019-9-8,CDD,75000
247,164,2010-4-2,2021-5-2,CDD,75000
248,57,2010-7-15,2013-8-21,CDD,75000
249,25,2011-11-3,2017-12-22,CDD,75000
250,188,2010-8-3,2013-6-21,CDD,75000
251,185,2011-12-18,2025-10-21,CDD,75000
252,173,2010-11-2,2012-11-4,CDD,75000
253,42,2011-7-25,2013-8-12,CDD,75000
254,24,2011-6-19,2024-4-20,CDD,75000
255,182,2011-11-23,2014-10-14,CDD,75000
256,114,2010-7-8,2023-5-1,CDD,75000
257,195,2011-3-8,2023-7-8,CDD,75000
258,135,2011-10-12,2013-10-25,CDD,75000
259,167,2011-6-22,2016-12-20,CDD,75000
260,118,2010-3-3,2021-8-1,CDD,75000
261,180,2011-3-14,2017-2-8,CDD,75000
262,117,2010-2-4,2023-9-17,CDD,75000
263,53,2011-7-20,2025-5-13,CDD,75000
264,5,2010-5-4,2018-3-13,CDD,75000
265,92,2011-10-20,2024-2-9,CDD,75000
266,41,2011-11-16,2016-8-20,CDD,75000
267,80,2011-3-21,2014-8-26,CDD,75000
268,159,2010-8-16,2025-12-22,CDD,75000
269,104,2010-1-5,2018-3-4,CDD,75000
270,114,2010-6-20,2012-8-27,CDD,75000
271,186,2010-1-15,2023-3-15,CDD,75000
272,178,2010-7-25,2012-4-9,CDD,75000
273,17,2011-2-8,2018-2-6,CDD,75000
274,30,2010-6-4,2014-9-5,CDD,75000
275,188,2010-12-3,2014-1-11,CDD,75000
276,128,2010-3-10,2012-4-3,CDD,75000
277,3,2011-1-11,2022-4-6,CDD,75000
278,196,2011-6-4,2014-5-4,CDD,75000
279,197,2010-8-14,2023-1-25,CDD,75000
280,43,2010-8-2,2018-6-24,CDD,75000
281,111,2011-9-10,2017-4-28,CDD,75000
282,44,2011-9-24,2017-2-28,CDD,75000
283,41,2010-8-16,2019-7-9,CDD,75000
284,26,2010-3-8,2012-10-19,CDD,75000
285,14,2010-9-21,2022-4-4,CDD,75000
286,196,2011-11-5,2020-6-16,CDD,75000
287,22,2010-6-3,2023-4-4,CDD,75000
288,60,2010-9-7,2019-12-28,CDD,75000
289,34,2010-7-11,2017-1-2,CDD,75000
290,54,2011-11-22,2015-6-10,CDD,75000
291,158,2011-8-21,2021-3-21,CDD,75000
292,153,2011-8-18,2013-11-18,CDD,75000
293,148,2011-3-21,2012-12-6,CDD,75000
294,78,2011-5-10,2012-10-19,CDD,75000
295,45,2010-10-17,2020-6-26,CDD,75000
296,146,2011-12-15,2025-4-27,CDD,75000
297,108,2011-11-7,2014-2-13,CDD,75000
298,10,2010-11-15,2013-8-26,CDD,75000
299,182,2010-2-11,2024-3-24,CDD,75000
300,77,2011-5-11,2016-11-22,CDD,75000
301,197,2011-1-25,2024-8-17,CDD,75000
302,43,2011-11-15,2019-1-11,CDD,75000
303,130,2010-12-10,2025-6-13,CDD,75000
304,71,2010-5-22,2013-10-3,CDD,75000
305,30,2011-2-28,2019-8-4,CDD,75000
306,192,2010-11-24,2024-4-6,CDD,75000
307,126,2010-8-11,2022-9-3,CDD,75000
308,162,2011-10-3,2021-10-8,CDD,75000
309,86,2010-3-12,2023-1-2,CDD,75000
310,9,2011-11-27,2017-2-23,CDD,75000
311,38,2011-7-2,2012-3-26,CDD,75000
312,38,2010-4-13,2020-11-12,CDD,75000
313,172,2011-10-27,2018-6-13,CDD,75000
314,21,2010-10-24,2016-2-24,CDD,75000
315,25,2010-1-7,2018-12-1,CDD,75000
316,63,2010-4-18,2023-9-13,CDD,75000
317,61,2010-11-25,2019-1-9,CDD,75000
318,113,2010-12-16,2021-6-6,CDD,75000
319,115,2011-10-4,2021-10-15,CDD,75000
320,11,2011-3-14,2016-1-27,CDD,75000
321,98,2010-7-21,2023-12-24,CDD,75000
322,71,2010-11-5,2012-6-8,CDD,75000
323,130,2011-10-28,2022-4-24,CDD,75000
324,50,2010-9-27,2022-8-28,CDD,75000
325,164,2010-11-21,2024-7-11,CDD,75000
326,158,2010-11-5,2022-3-9,CDD,75000
327,34,2011-9-5,2025-6-25,CDD,75000
328,118,2011-7-14,2018-4-8,CDD,75000
329,59,2011-7-8,2013-8-8,CDD,75000
330,179,2010-7-4,2014-6-22,CDD,75000
331,71,2011-7-15,2016-5-22,CDD,75000
332,8,2010-7-16,2015-6-21,CDD,75000
333,129,2011-10-17,2020-8-14,CDD,75000
334,46,2011-12-19,2019-3-15,CDD,75000
335,37,2010-3-19,2019-3-13,CDD,75000
336,119,2010-12-10,2014-7-16,CDD,75000
337,151,2011-2-16,2024-2-23,CDD,75000
338,131,2010-10-14,2013-7-25,CDD,75000
339,126,2011-1-21,2022-8-9,CDD,75000
340,87,2011-4-13,2017-12-25,CDD,75000
341,167,2011-3-26,2021-11-1,CDD,75000
342,185,2010-1-9,2018-10-3,CDD,75000
343,188,2010-9-17,2020-5-4,CDD,75000
344,6,2011-12-28,2023-4-22,CDD,75000
345,27,2011-6-13,2014-9-5,CDD,75000
346,161,2011-7-8,2013-6-5,CDD,75000
347,70,2011-8-16,2020-8-5,CDD,75000
348,194,2010-10-1,2017-6-3,CDD,75000
349,176,2011-6-17,2025-3-20,CDD,75000
350,179,2011-3-14,2012-6-17,CDD,75000
351,144,2011-7-21,2015-2-23,CDD,75000
352,170,2011-2-10,2012-10-2,CDD,75000
353,190,2011-1-1,2022-12-27,CDD,75000
354,130,2011-3-17,2019-5-5,CDD,75000
355,145,2010-3-21,2024-4-18,CDD,75000
356,143,2011-9-13,2021-3-15,CDD,75000
357,199,2011-9-12,2012-5-21,CDD,75000
358,104,2011-9-27,2013-8-21,CDD,75000
359,157,2011-11-9,2024-6-13,CDD,75000
360,60,2011-6-18,2018-3-7,CDD,75000
361,123,2011-3-21,2023-1-25,CDD,75000
362,180,2010-6-5,2023-3-9,CDD,75000
363,18,2010-10-26,2013-9-15,CDD,75000
364,198,2011-12-27,2018-3-11,CDD,75000
365,128,2011-6-23,2020-3-5,CDD,75000
366,72,2010-7-27,2025-8-22,CDD,75000
367,46,2011-5-28,2019-12-15,CDD,75000
368,173,2011-3-21,2024-11-19,CDD,75000
369,168,2011-3-20,2016-10-12,CDD,75000
370,5,2011-9-25,2013-9-5,CDD,75000
371,68,2011-2-12,2023-3-19,CDD,75000
372,16,2010-7-3,2020-10-22,CDD,75000
373,54,2011-11-8,2014-10-13,CDD,75000
374,20,2011-7-21,2017-3-7,CDD,75000
375,126,2011-2-21,2016-7-11,CDD,75000
376,163,2011-3-20,2023-10-20,CDD,75000
377,149,2011-11-18,2016-5-7,CDD,75000
378,183,2011-4-21,2022-5-24,CDD,75000
379,162,2010-8-15,2021-1-19,CDD,75000
380,7,2010-3-27,2015-12-9,CDD,75000
381,12,2010-12-6,2018-11-19,CDD,75000
382,73,2011-1-2,2012-7-23,CDD,75000
383,62,2011-9-24,2012-8-11,CDD,75000
384,95,2010-3-14,2012-3-10,CDD,75000
385,199,2010-11-21,2012-4-8,CDD,75000
386,150,2010-6-7,2019-10-13,CDD,75000
387,12,2011-9-15,2023-4-3,CDD,75000
388,154,2010-6-16,2015-2-20,CDD,75000
389,177,2011-9-3,2015-5-23,CDD,75000
390,76,2010-4-12,2025-5-1,CDD,75000
391,190,2011-4-17,2023-2-20,CDD,75000
392,107,2010-9-15,2014-2-15,CDD,75000
393,3,2010-10-1,2015-7-24,CDD,75000
394,96,2011-3-13,2023-1-14,CDD,75000
395,93,2010-3-9,2022-4-15,CDD,75000
396,61,2011-12-22,2013-9-5,CDD,75000
397,156,2010-7-23,2023-4-20,CDD,75000
398,120,2011-3-17,2012-11-7,CDD,75000
399,43,2011-4-7,2023-3-6,CDD,75000
400,121,2011-8-6,2014-12-6,CDD,75000
401,164,2011-11-7,2020-8-7,CDD,75000
402,199,2010-7-27,2019-10-20,CDD,75000
403,47,2011-7-23,2025-12-1,CDD,75000
404,99,2010-11-1,2014-12-25,CDD,75000
405,165,2011-4-2,2024-12-22,CDD,75000
406,79,2010-5-7,2019-11-25,CDD,75000
407,173,2010-12-26,2017-1-18,CDD,75000
408,17,2011-3-6,2014-7-14,CDD,75000
409,134,2011-11-3,2025-12-17,CDD,75000
410,163,2011-4-28,2023-9-15,CDD,75000
411,11,2010-9-2,2013-7-2,CDD,75000
412,197,2010-6-9,2021-7-11,CDD,75000
413,22,2010-10-13,2015-3-20,CDD,75000
414,158,2011-8-8,2015-11-18,CDD,75000
415,185,2011-10-15,2023-12-2,CDD,75000
416,139,2011-7-4,2024-12-25,CDD,75000
417,59,2010-7-2,2021-5-7,CDD,75000
418,84,2010-3-1,2024-5-4,CDD,75000
419,53,2010-8-21,2022-5-9,CDD,75000
420,114,2010-7-11,2015-9-11,CDD,75000
421,92,2011-8-24,2019-6-10,CDD,75000
422,72,2010-12-19,2017-4-5,CDD,75000
423,140,2010-1-26,2013-3-11,CDD,75000
424,23,2011-12-4,2019-1-6,CDD,75000
425,140,2010-1-28,2012-3-26,CDD,75000
426,82,2010-2-4,2012-11-5,CDD,75000
427,66,2011-2-22,2018-5-14,CDD,75000
428,199,2010-1-6,2020-3-24,CDD,75000
429,75,2011-4-18,2025-12-13,CDD,75000
430,85,2011-9-1,2015-8-9,CDD,75000
431,161,2011-6-23,2021-5-7,CDD,75000
432,61,2010-5-6,2023-12-22,CDD,75000
433,122,2010-3-20,2021-3-13,CDD,75000
434,9,2011-11-13,2016-6-2,CDD,75000
435,19,2010-4-15,2015-5-22,CDD,75000
436,138,2010-6-2,2024-11-6,CDD,75000
437,27,2011-10-22,2013-11-26,CDD,75000
438,90,2010-9-9,2016-1-2,CDD,75000
439,191,2011-11-4,2019-11-9,CDD,75000
440,187,2010-9-12,2022-9-11,CDD,75000
441,126,2011-8-8,2018-8-27,CDD,75000
442,32,2010-3-21,2023-2-28,CDD,75000
443,192,2010-6-10,2016-10-22,CDD,75000
444,92,2011-8-6,2014-1-15,CDD,75000
445,1,2010-7-10,2025-1-2,CDD,75000
446,59,2011-12-21,2022-6-21,CDD,75000
447,103,2010-8-21,2012-9-23,CDD,75000
448,103,2010-5-7,2012-11-3,CDD,75000
449,3,2011-8-11,2015-6-2,CDD,75000
450,85,2010-6-27,2017-5-6,CDD,75000
451,158,2011-7-8,2025-2-27,CDD,75000
452,29,2010-10-1,2018-5-25,CDD,75000
453,150,2010-5-5,2014-11-23,CDD,75000
454,66,2010-1-15,2014-12-4,CDD,75000
455,138,2011-10-24,2017-11-13,CDD,75000
456,12,2011-3-13,2015-11-14,CDD,75000
457,163,2010-8-14,2014-5-4,CDD,75000
458,120,2011-11-23,2012-8-7,CDD,75000
459,43,2010-8-23,2023-2-4,CDD,75000
460,75,2011-5-13,2023-5-1,CDD,75000
461,95,2010-6-27,2015-10-19,CDD,75000
462,42,2011-1-16,2022-4-28,CDD,75000
463,61,2010-12-8,2014-12-1,CDD,75000
464,143,2011-11-2,2013-7-23,CDD,75000
465,167,2010-2-1,2015-6-25,CDD,75000
466,25,2011-2-25,2018-8-15,CDD,75000
467,93,2010-3-15,2017-7-5,CDD,75000
468,69,2011-6-27,2014-6-3,CDD,75000
469,151,2011-5-12,2023-12-5,CDD,75000
470,121,2011-2-14,2013-1-15,CDD,75000
471,118,2011-7-3,2018-2-27,CDD,75000
472,27,2011-9-15,2019-6-17,CDD,75000
473,111,2010-10-3,2018-9-26,CDD,75000
474,6,2010-7-7,2017-9-8,CDD,75000
475,133,2011-7-13,2016-10-14,CDD,75000
476,145,2010-8-17,2015-5-4,CDD,75000
477,86,2011-4-12,2021-4-27,CDD,75000
478,181,2011-10-28,2021-5-20,CDD,75000
479,36,2010-8-2,2016-2-11,CDD,75000
480,74,2010-10-21,2014-3-3,CDD,75000
481,46,2010-5-4,2022-1-22,CDD,75000
482,186,2010-3-12,2018-7-3,CDD,75000
483,20,2011-5-5,2022-11-9,CDD,75000
484,176,2011-8-19,2025-10-4,CDD,75000
485,53,2010-6-2,2022-6-5,CDD,75000
486,149,2010-9-5,2020-3-1,CDD,75000
487,110,2011-7-19,2015-3-27,CDD,75000
488,2,2011-6-20,2015-9-28,CDD,75000
489,132,2011-8-4,2017-12-10,CDD,75000
490,41,2011-11-18,2017-1-4,CDD,75000
491,139,2011-8-10,2023-7-20,CDD,75000
492,7,2011-12-19,2018-12-27,CDD,75000
493,123,2010-5-6,2018-10-5,CDD,75000
494,114,2011-5-3,2024-7-19,CDD,75000
495,158,2011-1-1,2025-10-9,CDD,75000
496,148,2011-12-5,2018-2-17,CDD,75000
497,21,2010-6-21,2021-12-11,CDD,75000
498,168,2010-12-15,2012-10-14,CDD,75000
499,154,2010-9-20,2022-10-28,CDD,75000
500,167,2010-5-20,2014-3-25,CDD,75000
501,144,2010-7-4,2022-7-25,CDD,75000
502,121,2011-6-24,2017-8-17,CDD,75000
503,77,2011-4-12,2022-11-23,CDD,75000
504,36,2011-12-16,2016-7-19,CDD,75000
505,111,2011-5-7,2014-8-20,CDD,75000
506,75,2011-5-10,2017-2-7,CDD,75000
507,43,2011-2-23,2012-3-18,CDD,75000
508,189,2010-7-12,2022-12-24,CDD,75000
509,91,2010-6-15,2025-8-19,CDD,75000
510,133,2010-5-24,2021-3-6,CDD,75000
511,172,2010-9-5,2025-7-9,CDD,75000
512,36,2010-10-14,2023-10-22,CDD,75000
513,52,2010-12-9,2016-6-8,CDD,75000
514,110,2010-9-27,2024-9-19,CDD,75000
515,125,2011-3-5,2013-6-17,CDD,75000
516,60,2010-10-15,2017-11-28,CDD,75000
517,198,2011-6-20,2024-4-26,CDD,75000
518,124,2011-12-28,2020-10-24,CDD,75000
519,13,2011-6-7,2022-8-21,CDD,75000
520,159,2010-8-3,2017-8-10,CDD,75000
521,111,2011-11-20,2017-2-4,CDD,75000
522,146,2011-3-5,2025-5-21,CDD,75000
523,171,2011-10-4,2023-11-20,CDD,75000
524,30,2011-5-25,2021-6-12,CDD,75000
525,85,2010-8-9,2020-12-21,CDD,75000
526,17,2011-5-14,2013-5-3,CDD,75000
527,186,2010-4-19,2025-6-12,CDD,75000
528,111,2011-12-11,2018-1-21,CDD,75000
529,9,2011-8-8,2016-7-22,CDD,75000
530,6,2010-5-27,2023-6-13,CDD,75000
531,63,2011-2-27,2017-4-6,CDD,75000
532,73,2011-2-9,2025-8-22,CDD,75000
533,163,2011-1-3,2015-4-19,CDD,75000
534,125,2011-8-14,2025-5-1,CDD,75000
535,4,2011-2-5,2023-7-14,CDD,75000
536,106,2011-4-26,2012-5-14,CDD,75000
537,107,2010-7-14,2013-6-10,CDD,75000
538,17,2010-2-11,2013-9-25,CDD,75000
539,166,2011-7-26,2020-11-15,CDD,75000
540,125,2011-8-9,2024-1-12,CDD,75000
541,9,2010-8-10,2025-10-2,CDD,75000
542,65,2011-2-24,2019-4-6,CDD,75000
543,151,2011-11-10,2015-10-4,CDD,75000
544,116,2010-5-20,2015-11-25,CDD,75000
545,81,2010-3-6,2016-8-21,CDD,75000
546,152,2011-7-22,2021-12-17,CDD,75000
547,132,2010-7-15,2020-9-22,CDD,75000
548,81,2011-11-15,2012-4-1,CDD,75000
549,96,2010-3-4,2017-9-12,CDD,75000
550,143,2010-4-21,2022-10-8,CDD,75000
551,144,2011-9-6,2025-4-27,CDD,75000
552,112,2011-9-24,2016-11-13,CDD,75000
553,145,2011-3-5,2024-8-28,CDD,75000
554,176,2011-6-14,2020-4-7,CDD,75000
555,76,2011-8-14,2024-9-7,CDD,75000
556,59,2011-7-4,2014-1-24,CDD,75000
557,129,2011-2-7,2023-8-17,CDD,75000
