id_demmande,id_agent,role_com,sexe,taille,poids,date_debut,date_fin
85,139,superhero,F,1.605227843427845,75.84197815849697,2020-11-16,2021-4-15
86,131,superhero,M,1.9737766272688968,124.54558276627338,2020-12-1,2021-2-16
87,147,superhero,M,1.617091936158101,65.41869513462812,2020-10-8,2021-9-23
88,163,mechant,M,1.7953115297967406,62.528024547981026,2020-9-12,2021-7-14
89,83,superhero,M,1.8735283578796627,97.84027844993571,2020-10-13,2021-8-23
90,130,superhero,M,2.05632806089175,83.10274485415951,2020-1-23,2021-2-10
91,96,superhero,F,1.7859549629488376,94.29926189329846,2020-11-19,2021-5-20
92,27,gentil,M,1.9233039990130882,108.00332986438237,2020-9-28,2021-3-24
93,32,gentil,F,1.9431980202462327,58.026598780661644,2020-12-10,2021-12-4
94,79,superhero,M,2.119329873146622,103.49865558184656,2020-11-25,2021-11-21
95,198,gentil,M,1.6193934700472725,122.5497820226726,2020-5-23,2021-8-5
96,5,mechant,M,2.1305628367620537,69.2328477249807,2020-1-23,2021-6-14
97,29,gentil,F,1.7870054223087615,104.40276956610084,2020-2-10,2021-8-2
98,124,mechant,F,1.6899414736219718,95.00273405388214,2020-10-11,2021-1-14
99,75,gentil,M,1.890252107351353,87.79762666361825,2020-9-18,2021-10-9
100,177,gentil,M,1.885102171150352,84.49400535002454,2020-9-3,2021-11-4
101,18,superhero,F,1.5208016232851362,57.11315469901071,2020-5-22,2021-5-2
102,106,mechant,F,1.7003105977837765,100.99543568631972,2020-2-14,2021-5-22
103,67,mechant,M,1.6657717403646577,61.58036849660645,2020-3-14,2021-10-28
104,41,superhero,M,1.639712423590837,71.95475120260188,2020-1-3,2021-10-3
105,35,gentil,M,1.754140857935296,103.11448238835447,2020-12-7,2021-11-28
106,4,mechant,M,1.5587545543764718,105.2664106215021,2020-5-2,2021-8-25
107,98,mechant,F,1.5346301823005106,81.4555500904181,2020-12-14,2021-3-3
108,97,superhero,M,2.136706312108251,56.99076048426821,2020-4-3,2021-4-12
109,23,gentil,M,2.197455454779467,124.44097249191734,2020-9-6,2021-2-2
110,5,gentil,F,1.9156971611537346,91.40719354092207,2020-2-10,2021-11-23
111,83,mechant,M,1.5552446200569885,93.55805111255924,2020-6-14,2021-1-7
112,150,mechant,M,2.1834004746647167,108.89982373532305,2020-6-20,2021-7-1
113,54,gentil,M,2.126076374801558,83.75474896814958,2020-5-18,2021-2-21
114,196,superhero,F,1.5418510729412096,96.22042506534146,2020-12-20,2021-5-17
115,149,superhero,M,1.9398857505779519,55.086095144407,2020-2-11,2021-7-13
116,188,superhero,M,1.8940314558968674,109.25500137280649,2020-5-12,2021-8-17
117,95,mechant,F,1.8499297959651875,74.78906182572138,2020-5-26,2021-7-26
118,182,gentil,M,1.8955060922402156,85.41900369613793,2020-12-28,2021-7-25
119,20,superhero,M,2.0572770469893302,115.90856849394227,2020-8-27,2021-1-13
120,171,gentil,F,1.6995437039954977,71.55070098633928,2020-1-9,2021-8-3
121,39,gentil,F,1.8705204105583215,95.20601151203718,2020-6-19,2021-6-12
122,128,gentil,F,1.9694949538749413,59.196356523781155,2020-11-4,2021-6-11
123,68,superhero,F,1.5346251767763959,100.84400363899552,2020-1-10,2021-2-27
124,32,superhero,M,1.96023947789026,105.28136942503875,2020-3-28,2021-4-12
125,106,gentil,F,1.953102289917892,107.36967605316954,2020-12-4,2021-4-22
126,73,mechant,F,1.577458684560373,87.02861474528584,2020-3-11,2021-8-2
127,176,superhero,M,2.147457767613853,94.19266814568942,2020-12-13,2021-3-11
128,133,mechant,F,1.7015379657504601,66.4392766756841,2020-12-28,2021-8-3
129,180,mechant,F,1.7406364674659316,52.921342924197276,2020-8-24,2021-5-2
130,16,mechant,M,1.666943528458901,71.80249171883327,2020-2-3,2021-10-26
131,99,mechant,F,1.8227605129793827,91.35415787955856,2020-5-12,2021-9-15
132,91,mechant,F,1.9840471681104876,51.91303734085425,2020-5-22,2021-7-21
133,138,gentil,F,1.5084473932239575,77.98254016939028,2020-5-20,2021-11-11
134,83,mechant,M,1.9658942605108705,117.1863797957433,2020-10-13,2021-8-21
135,175,gentil,M,2.0576156649018884,103.56129555358109,2020-8-13,2021-8-10
136,84,superhero,M,1.9172462197516789,108.47880679152854,2020-7-27,2021-2-22
137,164,mechant,F,1.5614549779609812,75.47461547881755,2020-4-26,2021-10-13
138,103,mechant,M,1.6282139572337644,110.75607220351172,2020-2-12,2021-5-16
139,2,gentil,M,1.9140370491616028,101.1101539745182,2020-3-23,2021-1-19
140,150,mechant,F,1.7544452374534538,76.46228637758816,2020-6-15,2021-2-14
141,193,superhero,F,1.734485773290689,49.00172957461072,2020-2-17,2021-3-12
142,148,superhero,M,1.7827277793175955,80.63199013618936,2020-5-21,2021-2-27
143,127,superhero,M,2.1015864917687868,98.48058172461975,2020-7-25,2021-10-27
144,118,mechant,M,1.6904861201960681,85.74815745060533,2020-1-23,2021-10-22
145,1,mechant,F,1.6301980851710627,107.95417853081966,2020-1-2,2021-9-20
146,81,superhero,M,1.6541848611829024,60.433813951705815,2020-12-13,2021-4-22
147,7,mechant,M,1.7663725209192673,99.42067732647627,2020-2-18,2021-9-24
148,116,mechant,F,1.592553923158281,83.62615039066353,2020-3-16,2021-6-1
149,43,mechant,M,1.6151880319958891,111.08855854419927,2020-12-5,2021-7-27
150,39,mechant,M,1.9702582279412046,77.83497701886282,2020-2-22,2021-7-13
151,129,gentil,M,1.5991824680605704,67.24218379680454,2020-12-10,2021-4-20
152,46,superhero,F,1.5540416931963759,93.7246165010678,2020-12-27,2021-3-24
153,129,mechant,F,1.9071889476599542,98.94021300796804,2020-12-20,2021-9-7
154,164,gentil,F,1.6716139933200826,72.66814075019636,2020-11-6,2021-8-23
155,52,superhero,M,1.9828426247450464,111.92546493134867,2020-2-15,2021-3-18
156,165,mechant,M,1.8491078566031984,72.03652034832764,2020-6-26,2021-8-3
157,29,mechant,M,2.186445580207396,98.82287484345434,2020-6-19,2021-5-1
158,193,mechant,F,1.5864041456910636,68.43853462629038,2020-11-25,2021-6-20
159,151,superhero,M,1.9924445017046937,89.07044702819888,2020-12-24,2021-2-13
160,189,mechant,F,1.6048105659705567,106.42860347578917,2020-12-13,2021-4-4
161,86,mechant,F,1.778115699837532,102.44908279906979,2020-6-9,2021-10-23
162,1,mechant,F,1.5471422085804485,80.2929245358005,2020-10-25,2021-2-27
163,42,mechant,M,1.8861812849583433,65.5024499590146,2020-11-14,2021-6-12
164,118,superhero,F,1.8031595987448157,66.95843651376151,2020-3-10,2021-11-15
165,71,gentil,F,1.6150792980295785,87.23618114131996,2020-4-6,2021-3-10
166,77,superhero,M,2.0564402581366545,119.89786656436313,2020-1-1,2021-8-2
167,172,superhero,M,2.1828624895815816,83.53619049496685,2020-4-20,2021-8-17
168,130,mechant,M,1.9481882621990914,115.75123146562433,2020-12-11,2021-7-22
169,110,mechant,M,1.678985437088802,98.76483233721424,2020-12-23,2021-2-18
170,121,gentil,M,1.9046790583268516,94.30148944720247,2020-3-28,2021-6-18
171,23,mechant,M,1.816372654276394,89.7317258412319,2020-11-22,2021-10-5
172,44,superhero,F,1.7913832327233057,49.30473577044985,2020-6-27,2021-3-25
173,197,gentil,F,1.7389043908253212,77.31400695692048,2020-8-19,2021-6-2
174,93,gentil,M,2.108115340946565,83.45958192395094,2020-1-4,2021-8-16
175,137,superhero,M,1.7633551731114427,112.07239421490941,2020-5-21,2021-10-28
176,64,superhero,M,2.095952003245594,115.49460268974454,2020-2-12,2021-5-4
177,175,mechant,F,1.861434957769153,70.52644371864935,2020-7-9,2021-10-21
178,80,gentil,M,1.5645499252068364,120.72018760292322,2020-2-3,2021-11-8
179,124,mechant,F,1.8487068845838555,97.24293378651805,2020-6-6,2021-1-27
180,48,mechant,F,1.5035176359007982,95.60076744350832,2020-5-8,2021-11-14
181,192,gentil,M,1.8485106513814074,83.84641855234788,2020-10-8,2021-6-27
182,93,superhero,F,1.8547077055398404,79.65320714724467,2020-10-9,2021-7-19
183,133,gentil,M,1.6392553961549172,61.360427280132015,2020-10-12,2021-3-20
184,61,gentil,F,1.9926654200242708,70.69756637018497,2020-2-2,2021-2-20
185,113,gentil,F,1.9365000494337792,89.36682609268638,2020-2-21,2021-12-19
186,21,mechant,M,1.8566886733827421,87.16012664040794,2020-4-1,2021-4-22
187,69,mechant,F,1.753069057758678,106.50885240480915,2020-6-14,2021-9-17
188,25,gentil,M,1.823752360671918,112.69603097468493,2020-3-5,2021-10-3
189,46,superhero,M,1.5508644350842617,118.96972302390157,2020-2-22,2021-1-8
190,126,mechant,F,1.9882591805043341,60.49503823607668,2020-1-4,2021-4-4
191,100,superhero,F,1.9870274229223568,67.01468043827734,2020-3-6,2021-12-25
192,17,superhero,M,1.933353733341218,82.37001910233177,2020-11-21,2021-3-3
193,128,mechant,M,1.9997933644748644,60.55053178514354,2020-3-15,2021-4-18
194,194,mechant,F,1.945516705169174,70.64708596087516,2020-2-6,2021-1-4
195,73,mechant,M,1.8302479125225817,63.0207795362498,2020-1-18,2021-3-4
196,65,gentil,F,1.9211133030511838,75.62705413491774,2020-12-13,2021-12-22
197,154,superhero,F,1.5072912030931993,81.51945824408726,2020-1-10,2021-5-19
198,102,superhero,F,1.9873729142380172,89.7703295570488,2020-4-12,2021-3-13
199,162,gentil,M,1.713186273187711,122.10840077425841,2020-3-2,2021-9-22
200,82,mechant,M,1.5016493402940552,100.59661438001373,2020-6-26,2021-8-19
201,111,gentil,F,1.5066963209707203,55.177985983148574,2020-3-9,2021-4-15
202,58,superhero,M,1.6549980391951846,71.63957252856535,2020-2-12,2021-7-6
203,183,mechant,F,1.6657982243215992,85.79878648432626,2020-5-6,2021-3-18
204,184,gentil,F,1.6398694081495089,72.14625872651611,2020-5-28,2021-4-28
205,139,superhero,F,1.8783957306562316,92.5046837436741,2020-6-6,2021-4-1
206,8,superhero,F,1.794104229443562,45.68045651546105,2020-3-20,2021-5-17
207,103,superhero,F,1.7968288661046223,66.33395173561513,2020-9-13,2021-11-17
208,109,gentil,F,1.939777091400984,107.8613591499499,2020-11-25,2021-11-17
209,75,gentil,F,1.735066209849177,57.92643642166666,2020-6-10,2021-1-16
210,58,mechant,M,1.9838639388355697,96.66820776841038,2020-8-23,2021-8-27
211,13,mechant,M,1.794120890350007,118.65566371630032,2020-10-17,2021-12-28
212,5,mechant,F,1.9310321770601078,92.02389753923833,2020-5-19,2021-6-8
213,109,superhero,F,1.8506216032882323,54.507410884539894,2020-10-12,2021-11-17
214,92,superhero,M,2.0328928558313546,64.01311810751993,2020-1-2,2021-11-24
215,161,mechant,M,1.9221458599895616,105.8681280454419,2020-12-5,2021-1-1
216,146,superhero,F,1.6463877103028335,70.25221919159691,2020-10-3,2021-10-23
217,64,superhero,F,1.733488209595924,53.365717143267574,2020-8-28,2021-1-19
218,145,gentil,F,1.9522422845692489,57.77972482176873,2020-9-21,2021-4-17
219,133,gentil,M,1.916382776159022,112.16049447714943,2020-7-4,2021-4-24
220,16,superhero,M,1.5113926709927743,123.97383556371581,2020-9-3,2021-11-12
221,73,superhero,M,1.6671262375031248,63.67247179482996,2020-8-1,2021-9-12
222,28,gentil,F,1.7144570026368684,65.33343589565395,2020-4-14,2021-4-6
223,56,gentil,M,1.8457055730020957,98.51824954848232,2020-11-16,2021-4-24
224,166,mechant,F,1.793512050541021,82.90920912035064,2020-4-21,2021-7-10
225,159,gentil,F,1.7501616405247973,45.19958758253634,2020-4-20,2021-12-15
226,50,superhero,M,1.9571520534010483,96.94194427966497,2020-7-20,2021-3-9
227,1,gentil,F,1.9148847609071926,45.92944117335305,2020-7-11,2021-3-1
228,151,gentil,F,1.5260405537138764,104.4561000487218,2020-5-27,2021-3-4
229,118,superhero,M,1.6529555586992368,65.58029400638965,2020-4-27,2021-8-6
230,37,superhero,M,1.7472865459444173,93.60729719491685,2020-9-13,2021-10-10
231,104,superhero,M,1.8013469277688903,120.723257406923,2020-7-20,2021-7-6
232,137,superhero,M,1.5438622973370504,110.96646025944717,2020-7-23,2021-6-25
233,124,gentil,F,1.6431779751786457,102.39597928471971,2020-1-26,2021-9-11
234,25,superhero,M,1.5213101566367373,56.34649036843604,2020-10-8,2021-8-18
235,194,mechant,M,1.9025382177406502,63.19185202187519,2020-5-4,2021-5-25
236,67,gentil,M,2.064430561717107,116.77383278027148,2020-12-2,2021-1-9
237,123,superhero,F,1.7533720196684204,52.9310362707537,2020-9-14,2021-8-5
238,79,mechant,M,1.8271630369730505,104.00528771351148,2020-3-28,2021-10-25
239,109,superhero,M,1.656082199948713,101.36747202335613,2020-2-23,2021-6-8
240,125,gentil,F,1.8182379179368995,105.05456171141957,2020-8-6,2021-11-21
241,18,superhero,M,1.9288192340726869,111.46213732670662,2020-11-7,2021-4-16
242,134,mechant,M,2.075188980117411,118.58383988263297,2020-7-11,2021-12-27
243,9,mechant,M,1.9349336450749073,73.94349294698783,2020-5-11,2021-1-20
244,12,gentil,F,1.9569860802695298,102.35559848514389,2020-7-26,2021-11-8
245,122,gentil,F,1.9120931323896675,47.829324383407055,2020-12-28,2021-11-18
246,164,mechant,F,1.7179247117956176,97.25225008756041,2020-4-10,2021-6-1
247,186,gentil,F,1.7711423835946039,56.13362272232038,2020-3-11,2021-4-10
248,154,mechant,M,1.572935571666104,57.30078237826172,2020-8-15,2021-1-2
249,135,superhero,F,1.8494763210020153,65.21615821346091,2020-3-9,2021-7-7
250,23,superhero,F,1.6376627767546257,73.82795581717352,2020-1-2,2021-3-10
251,176,mechant,M,1.7022711527013827,107.50845332303268,2020-6-21,2021-5-20
252,6,superhero,F,1.9588298228662056,81.63759899579219,2020-8-2,2021-11-2
253,59,gentil,M,1.8243169589298016,119.97579420858968,2020-1-17,2021-12-20
254,130,mechant,F,1.8028510184493818,45.96865831746551,2020-6-9,2021-11-15
255,47,superhero,M,2.0726209444432357,115.40599059907112,2020-6-18,2021-8-2
256,56,mechant,F,1.865964037023616,91.36413692271353,2020-11-5,2021-9-17
257,67,mechant,F,1.6888789426367894,99.37515672206354,2020-3-10,2021-3-24
258,94,gentil,M,2.053030667180601,106.69964290473585,2020-7-15,2021-5-8
259,30,mechant,F,1.60677392049553,83.31179891407217,2020-4-17,2021-9-12
260,136,mechant,M,2.160423970946969,84.88631807797141,2020-6-6,2021-6-20
261,77,gentil,F,1.6593587441371558,89.49635794984084,2020-3-27,2021-9-3
262,170,mechant,F,1.972615104516934,87.59387164608026,2020-11-24,2021-6-22
263,94,superhero,M,2.1901769229293793,119.17301587051342,2020-3-26,2021-1-8
264,37,mechant,F,1.863114803759838,97.60021611285521,2020-2-7,2021-7-5
265,159,mechant,F,1.8587621584615883,98.44900325607055,2020-7-8,2021-11-18
266,38,mechant,M,1.956481463199671,95.4919448059,2020-2-12,2021-4-28
267,53,gentil,M,1.748662607971146,99.59083063962822,2020-2-20,2021-11-3
268,16,gentil,F,1.5451674853853827,101.47948392953171,2020-7-25,2021-6-17
269,58,mechant,F,1.5068323795299803,61.116049521076356,2020-12-2,2021-4-17
270,37,gentil,F,1.6161890106524563,67.31281317929856,2020-3-2,2021-6-10
271,139,gentil,M,1.5675651630709224,58.84469514807858,2020-12-15,2021-5-10
272,121,mechant,F,1.8690073595974563,81.03028303237048,2020-3-22,2021-10-8
273,176,superhero,M,2.1203019210562726,104.55228782447367,2020-10-25,2021-7-7
274,8,gentil,F,1.9600847862400976,72.52445015502084,2020-12-18,2021-10-5
275,60,superhero,F,1.928540456458264,55.581994982948245,2020-2-15,2021-1-24
276,167,gentil,M,1.9129134856580114,69.80499888833054,2020-3-6,2021-9-24
277,109,gentil,M,1.7641352892280227,116.27469068852554,2020-6-26,2021-8-11
278,64,gentil,F,1.9144166088922976,92.92297518167163,2020-12-25,2021-1-11
279,34,superhero,M,2.080758846574213,88.52046715508966,2020-2-8,2021-9-6
280,151,gentil,M,2.179411235681188,78.80625645490048,2020-1-24,2021-1-13
281,52,gentil,M,1.9447676398790283,74.7094744727471,2020-9-11,2021-7-5
282,136,mechant,M,1.7349835968872243,58.87613475821387,2020-1-10,2021-2-8
283,111,superhero,M,2.1456849371707456,89.1434341222863,2020-11-14,2021-11-1
284,93,superhero,M,2.167125942219324,82.54536881741728,2020-7-12,2021-5-22
285,78,gentil,M,1.8215157848521217,65.96657032691031,2020-1-10,2021-7-15
286,14,gentil,M,1.5800413192059501,109.82762297736389,2020-12-1,2021-11-1
287,178,superhero,M,1.5416122092329338,60.62623091659681,2020-3-2,2021-10-23
288,28,mechant,F,1.8619969537071166,76.57267896370733,2020-8-3,2021-7-27
289,33,gentil,M,1.7630954260595149,60.00565062638953,2020-11-9,2021-9-10
290,4,mechant,F,1.9663702566215076,95.29282977244867,2020-6-7,2021-6-20
291,180,gentil,M,1.8764488272553779,99.62811789324243,2020-2-17,2021-7-2
292,52,gentil,F,1.724317522599128,54.79445574163503,2020-9-14,2021-5-20
293,174,mechant,M,1.549799544985959,56.75751466937225,2020-1-25,2021-7-23
294,125,superhero,M,1.9591250634430024,84.92894180845373,2020-3-16,2021-8-7
295,35,mechant,M,1.714002863744321,88.58088397582603,2020-2-9,2021-5-1
296,198,mechant,M,1.5876581250233988,120.14777960855848,2020-10-28,2021-8-1
297,107,gentil,F,1.8660877341626991,89.51250934899669,2020-7-26,2021-7-5
298,158,mechant,M,1.8599299176185302,102.54446721565138,2020-9-16,2021-9-12
299,22,superhero,M,2.0059151544841116,93.53354321626368,2020-8-11,2021-8-20
300,61,gentil,F,1.5813954628495803,66.20627675206917,2020-10-8,2021-3-27
301,53,mechant,F,1.7071177922050598,108.42160469673685,2020-9-19,2021-3-11
302,176,superhero,F,1.6226310116928526,49.08566185331763,2020-8-24,2021-8-11
303,118,superhero,F,1.533783946284287,58.43903889798758,2020-12-22,2021-9-26
304,71,mechant,F,1.723261199871545,99.00237489128139,2020-12-7,2021-7-28
305,59,gentil,M,1.6348310679532334,59.53842350375869,2020-6-2,2021-11-28
306,79,gentil,F,1.617915868589822,79.79737655609372,2020-7-3,2021-12-20
307,3,gentil,F,1.7022003270687733,55.898972269180085,2020-3-6,2021-7-23
308,51,superhero,M,1.9480564257928212,56.7133965174458,2020-1-16,2021-7-7
309,194,mechant,M,2.0580914071999814,91.60326965432344,2020-9-1,2021-9-6
310,138,gentil,F,1.7370347891711881,85.74623387723051,2020-10-25,2021-2-6
311,117,gentil,F,1.5188693987324073,97.09049832463468,2020-9-2,2021-5-7
312,184,superhero,M,1.6565335400542305,105.69074078172264,2020-10-2,2021-5-10
313,30,superhero,F,1.7962672187324864,77.54104214324212,2020-10-3,2021-11-21
314,166,superhero,M,1.721411865114425,76.24718911076525,2020-1-5,2021-12-19
315,57,mechant,M,2.0660880318693695,80.79696272739493,2020-6-7,2021-1-11
316,81,superhero,F,1.806531924177713,54.98208226588491,2020-4-27,2021-4-14
317,143,superhero,F,1.7690813140378627,99.96247622848131,2020-10-9,2021-3-24
318,182,gentil,F,1.5445830730004961,59.885566227995966,2020-1-1,2021-5-18
319,134,mechant,M,1.5255080922358057,121.90020770873157,2020-4-10,2021-6-6
320,87,superhero,M,2.0879388097887563,78.81624003908422,2020-6-21,2021-10-24
321,22,superhero,M,2.0549516729080595,123.92978089640057,2020-12-19,2021-11-24
322,24,superhero,M,1.6332158217558297,88.04605243889208,2020-8-3,2021-9-10
323,19,gentil,M,2.024098999884475,76.24251237536275,2020-1-25,2021-8-26
324,89,superhero,F,1.579327747457444,65.45569417205745,2020-2-25,2021-12-28
325,154,mechant,M,2.1475025149225617,92.66295976991937,2020-10-23,2021-1-13
326,193,gentil,M,1.5523539664863675,99.8519198483076,2020-7-2,2021-9-12
327,1,superhero,M,2.070225987736626,57.36609181991823,2020-11-19,2021-10-25
328,175,superhero,F,1.9164846357122705,71.71555549305597,2020-9-9,2021-3-15
329,118,mechant,F,1.6533010505178434,65.66205028724761,2020-8-7,2021-2-7
330,108,mechant,M,2.1420263729926816,99.99345486111152,2020-6-27,2021-1-16
331,76,mechant,M,1.5996927709490185,110.99853846200052,2020-6-12,2021-7-11
332,160,superhero,M,2.0610068542643614,77.91436364852908,2020-6-22,2021-10-22
333,50,mechant,M,1.7166443538420735,63.691747528548305,2020-7-16,2021-7-13
334,16,superhero,M,1.7845140334663567,77.70808009345424,2020-12-4,2021-8-21
335,17,gentil,M,1.5880094206945157,70.30832425640078,2020-10-18,2021-3-7
336,136,superhero,M,1.596128195455291,103.61953552604845,2020-1-4,2021-10-7
337,43,mechant,M,1.9140133704821287,106.33137733094429,2020-8-12,2021-11-9
338,5,gentil,M,1.8378035354755673,72.89305100070166,2020-4-6,2021-12-7
339,82,gentil,M,1.875867653283112,87.83401700710294,2020-8-22,2021-10-10
340,76,gentil,M,1.8596992479413503,89.7260537534595,2020-7-18,2021-7-23
341,194,mechant,F,1.9060946237115244,85.39041602279994,2020-2-3,2021-11-5
342,158,gentil,M,1.756847277317075,120.41792477362063,2020-9-13,2021-3-20
